,date,VOL,CIKS,SHROUT,PRC,VOLP,ACCESSION NUMBER,base_vol,base_volP,T0,T1,T3,T5,T20,T60,T0P,T1P,T3P,T5P,T20P,T60P,T0PP,T1PP,T3PP,T5PP,T20PP,T60PP,d4,abnormal,Year,Unnamed: 0,mkt_cap, ,PB_ratios
896,20190222,10314235.0,0001281761,1025000.0,16.24,10.062668292682927,0001281761-19-000019,14344960.566666666,13.849648049218423,10314235.0,11865068.0,21573864.0,16622691.666666666,22876728.333333332,7656526.666666667,10.062668292682927,11.575676097560976,21.04767219512195,16.283088913785743,22.47843297937185,7.5582691674893105,-0.2734350896916263,-0.1641898728094953,0.5197261417996635,0.17570416633833857,0.623032794731587,-0.4542627263430101,14542690.75,0.013783947499500173,2019,RF US,16553.20680156,,1.11
897,20200221,12312659.0,0001281761,964639.0,16.33,12.764007053415838,0001281761-20-000010,9046502.266666668,9.378757957282032,12312659.0,10858918.0,11385956.0,18362623.0,18862719.666666668,12155832.0,12.764007053415838,11.256975925708996,11.80333368234127,19.110736886406364,19.70239639628348,12.702018808777433,0.3609485511357469,0.20026297479706717,0.25851778413544657,1.0376618069739232,1.1007468671249558,0.35433912108959936,13283786.75,0.4683892579064847,2020,RF US,15482.355232760001,,0.93
898,20210224,11766623.0,0001281761,960000.0,22.21,12.256898958333334,0001281761-21-000012,8239048.616666666,8.579448604736237,11766623.0,11434975.0,7944815.0,9086101.0,9165204.0,5394099.666666667,12.256898958333334,11.911432291666667,8.270042699188279,9.458048203657013,9.540389351642698,5.614911683533296,0.4286348136134274,0.3883680455980617,-0.03606361198750611,0.10240746688962615,0.11200495406849095,-0.34553932983133495,9876741.0,0.19877202569486807,2021,RF US,20781.5611814,,1.26
899,20220224,14344395.0,0001281761,953283.0,23.08,15.047362640475074,0001281761-22-000016,9452780.7,9.915323907810018,14344395.0,8958465.0,15189750.0,11492918.666666666,6495757.333333333,7699832.0,15.047362640475074,9.397487419790346,16.208520337279356,12.263744034191754,6.931425128350689,8.252767416934622,0.5175865942838938,-0.05222587712054336,0.6346939835734834,0.236847545094513,-0.3009381042115021,-0.16767545935295644,12065745.5,0.2764228731128821,2022,RF US,20146.64726536,,1.42
900,20230224,6375833.0,0001281761,934446.0,23.17,6.823115514433151,0001281761-23-000012,7049248.25,7.54397174391384,6375833.0,6826706.0,6898614.0,8148777.333333333,19224125.333333332,8409032.0,6.823115514433151,7.305618516211744,7.382571063496446,8.720436850640205,20.572751484123575,8.997832139547729,-0.0955539408087319,-0.03159519094095081,-0.02139465601095408,0.1559477085363539,1.7270451404753482,0.1927181655746262,8077439.5,0.1458582835410854,2023,RF US,18024.65849844,,1.14
901,20020228,269100.0,0000036270,94480.0,76.5,2.8482218458933106,0000950152-02-001414,244536.66666666666,2.58413972541964,269100.0,272900.0,364800.0,257733.33333333334,322266.6666666667,213933.33333333334,2.8482218458933106,2.88844199830652,3.8611346316680777,2.727914197008184,3.4247341691069444,2.3022893753183657,0.10219343709473229,0.11775766994854128,0.49416635396565717,0.055637266891671915,0.3252898577497778,-0.10906931514916605,304125.0,0.24367852128515155,2002,MTB US,7292.375907897948,,2.28
902,20030227,296900.0,0000036270,92155.0,79.41,3.221745971461125,0000950128-03-000281,318236.6666666667,3.460479637708916,296900.0,324900.0,310300.0,313666.6666666667,305233.3333333333,292233.3333333333,3.221745971461125,3.5202721737057665,3.3620820421695883,3.398559675240714,3.307185010220959,2.453597975998565,-0.06898860598580192,0.017278684534158165,-0.028434669710836424,-0.017893462453429577,-0.04429866479129158,-0.29096592586135794,363150.0,0.14113186203140213,2003,MTB US,11799.135622406005,,2.07
903,20040226,18954200.0,0000036270,120231.0,96.0,157.64819389342182,0000950152-04-001428,322281.6666666667,2.6839733473840406,18954200.0,2010500.0,657900.0,890833.3333333334,461533.3333333333,257033.33333333334,157.64819389342182,16.72197686120884,5.47196646455573,7.409348115987825,3.838721572084838,2.1580217061552913,57.73687011351103,5.230306600289854,1.0387558877546355,1.7605893043645215,0.4302383352004161,-0.19596008348643734,1114575.0,2.458387849138176,2004,MTB US,12524.505446777344,,2.17
904,20060228,317200.0,0000036270,112160.0,112.4,2.828102710413695,0000950152-06-001522,253648.33333333334,2.2569221683737597,317200.0,164100.0,207500.0,197700.0,137500.0,246800.0,2.828102710413695,1.4630884450784594,1.8500356633380886,1.7626604850213876,1.2259272467902893,2.2145055497231767,0.25307941498554337,-0.3517328751603794,-0.18028380009615305,-0.2189981073687249,-0.4568145663287807,-0.018794010376151592,177300.0,-0.301000729356261,2006,MTB US,13519.39851196289,,2.15
905,20070223,324800.0,0000036270,110670.0,124.18,2.9348513598987984,0000950152-07-001456,301414.6666666667,2.723516285782604,324800.0,306275.0,575600.0,524288.3333333334,420033.3333333333,420866.6666666667,2.9348513598987984,2.767461823439053,5.244742501002296,4.7772017105854525,3.827252736572259,3.841566565652869,0.07759640550688586,0.01613558835166696,0.9257246701189512,0.7540565979074809,0.40526155710961564,0.41051720002804853,518385.0,0.7198399989383395,2007,MTB US,8707.7281892395,,1.38
